module_code,title,instructor_username
CC1000,SJ Academy Orientation,test_teacher@test.com
CM1001,Python 101,fm@sjacademy.com
CC2020,Learning to say hi,test_teacher@test.com
CM3035,Advanced Web Development,ta@sjacademy.com
CC1030,Marketing 101,test_teacher@test.com
CC1025,Introduction to AI,ta@sjacademy.com
CC3050,Cybersecurity Specialization,test_teacher@test.com
CM2010,Introduction to Business Intelligence,tw@sjacademy.com
CM3065,Machine Learning Specialization,fm@sjacademy.com
CM1050,Introduction to Machine Learning,ta@sjacademy.com
CM1080,Introduction to Web Development,test_teacher@test.com
CM1020,Introduction to Mobile Development,tw@sjacademy.com
CM2030,Advanced Mobile Development,ta@sjacademy.com
CC2065,Advanced Machine Learning,ta@sjacademy.com
CC1100,DevOps 101,test_teacher@test.com
CC1125,FinTech 101,fm@sjacademy.com
CM2090,Advanced FinTech,test_teacher@test.com
CA3090,Marketing Specialization,fm@sjacademy.com
CA3065,Data Engineering,tw@sjacademy.com
CA3080,Fullstack Development Specialization,test_teacher@test.com
CA3020,Resume and Portfolio Preparation,test_teacher@test.com
CA3030,AR and VR specialization,ta@sjacademy.com
