student_username,module_code
t1@t.com,CC1000
t2@t.com,CC1000
test_student@test.com,CC1000
houstos@gmail.com,CC1000
sample@student.com,CC1000
samanthap@gmail.com,CC1000
simaa@gmail.com,CC1000
sorgieg@gmail.com,CC1000
stephant@gmail.com,CC1000
susiey@gmail.com,CC1000
samanthap@gmail.com,CM1001
simaa@gmail.com,CM1001
sorgieg@gmail.com,CM1001
test_student@test.com,CM3035
houstos@gmail.com,CM3035
sample@student.com,CM3035
samanthap@gmail.com,CM3035
simaa@gmail.com,CC2020
sorgieg@gmail.com,CC2020
stephant@gmail.com,CC2020
susiey@gmail.com,CC2020
simaa@gmail.com,CC1030
sorgieg@gmail.com,CC1030
stephant@gmail.com,CC2020
susiey@gmail.com,CC2020
test_student@test.com,CC2020
